私,ワタシ
先生,センセイ
本名,ホンミョウ
世間,セケン
遠慮,エンリョ
自然,シゼン
記憶,キオク
心持,ココロモチ
頭文字,カシラモジ
知り合い,シリアイ
鎌倉,カマクラ
書生,ショセイ
暑中,ショチュウ
休暇,キュウカ
利用,リヨウ
海水浴,カイスイヨク
友達,トモダチ
来い,コイ
端書,ハシガキ
工面,クメン
三日,ミッカ
急,キュウ
国元,クニモト
電報,デンポウ
病気,ビョウキ
親たち,オヤタチ
勧告,カンコク
結婚,ケッコン
現代,ゲンダイ
習慣,シュウカン
肝心,カンジン
当人,トウニン
夏休み,ナツヤスミ
ところ,トコロ
東京,トウキョウ
近く,チカク
しよう,シヨウ
相談,ソウダン
一人,ヒトリ
学校,ガッコウ
授業,ジュギョウ
大分,オオイタ
日数,ニッスウ
境遇,キョウグウ
当分,トウブン
覚悟,カクゴ
中国,チュウゴク
資産,シサン
息子,ムスコ
不自由,フジユウ
男,オトコ
生活,セイカツ
程度,テイド
変り,カワリ
一人ぼっち,ヒトリボッチ
恰好,カッコウ
面倒,メンドウ
辺鄙,ヘンピ
方角,ホウガク
玉突き,タマツキ
アイスクリーム,アイスクリーム
ハイカラ,ハイカラ
畷,ナワテ
一つ,ヒトツ
車,クルマ
十,ジュウ
個人,コジン
別荘,ベッソウ
いくつ,イクツ
海へ,ウミヘ
便利,ベンリ
毎日,マイニチ
いりに,イリニ
燻,イブシ
藁葺,ワラブキ
この辺,コノヘン
都会,トカイ
人種,ジンシュ
避暑,ヒショ
女,オンナ
ある時,アルトキ
銭湯,セントウ
頭,アタマ
賑やか,ニギヤカ
景色,ケシキ
膝頭,ヒザガシラ
そこい,ソコイ
愉快,ユカイ
雑沓,ザットウ
海岸,カイガン
掛茶屋,カケヂャヤ
機会,キカイ
一軒,イッケン
長谷,ナガタニ
辺,アタリ
各自,カクジ
専有,センユウ
着,チャク
電車,デンシャ
ここいら,ココイラ
客,キャク
共同,キョウドウ
必要,ヒツヨウ
彼ら,カレラ
休息,キュウソク
海水,カイスイ
洗濯,センタク
身体,シンタイ
帽子,ボウシ
持物,モチモノ
恐れ,オソレ
茶屋,チャヤ
一切,イッサイ
着物,キモノ
入ろう,ニュウロウ
反対,ハンタイ
二人,フタリ
幾多,イクタ
特別,トクベツ
事情,ジジョウ
限り,カギリ
竹林人間,タケバヤシニンゲン
浜辺,ハマベ
混雑,コンザツ
放漫,ホウマン
西洋人,セイヨウジン
注意,チュウイ
純粋,ジュンスイ
日本,ニッポン
浴衣,ユカタ
床几,ショウギ
腕組み,ウデグミ
我々,ワレワレ
猿股,サルマタ
不思議,フシギ
長い間,ナガイアイダ
様子,ヨウス
所,トコロ
ホテル,ホテル
裏口,ウラグチ
多く,オオク
いずれ,イズレ
大抵,タイテイ
頭巾,ズキン
海老茶,エビチャ
波間,ナミマ
有様,アリサマ
目撃,モクゲキ
自分,ジブン
日本人,ニッポンジン
一言,ヒトコト
手拭,テヌグイ
好奇心,コウキシン
後姿,ウシロスガタ
真直,マッスグ
遠浅,トオアサ
多人数,タニンズウ
泳ぎ,オヨギ
沖の,オキノ
一直線,イッチョクセン
出て,ダシテ
烟草,タバコ
しながら,シナガラ
どこか,ドコカ
想い出,オモイデ
無聊,ブリョウ
翌日,ヨクジツ
時刻,ジコク
麦藁,ムギワラ
眼鏡,メガネ
昨日,キノウ
浴客,ヨッキャク
その後,ソノゴ
跳,チョウ
相当,ソウトウ
深さ,フカサ
目標,モクヒョウ
抜手,ヌキテ
一種,イッシュ
弧線,コセン
妙,ミョウ
方向,ホウコウ
目的,モクテキ
雫,シズク
挨拶,アイサツ
場合,バアイ
態度,タイド
社交,シャコウ
一定,イッテイ
超然,チョウゼン
周囲,シュウイ
最初,サイショ
いっしょ,イッショ
姿,スガタ
通り,トオリ
場所,バショ
後ろ向き,ウシロムキ
三度,サンド
隙間,スキマ
白絣,シロガスリ
兵児帯,ヘコオビ
腰掛,コシカケ
突ッ込,ツッコミ
丁,チョウ
後ろ,ウシロ
表面,ヒョウメン
近所,キンジョ
太陽,タイヨウ
光,ヒカリ
自由,ジユウ
歓喜,カンキ
筋肉,キンニク
手足,テアシ
運動,ウンドウ
仰向け,アオムケ
浪の上,ナミノウエ
青空,アオゾラ
痛烈,ツウレツ
姿勢,シセイ
体質,タイシツ
た元,タゲン
懇意,コンイ
中,チュウ
つもり,ツモリ
考え,カンガエ
用意,ヨウイ
極り,キマリ
言葉,コトバ
始まり,ハジマリ
普通,フツウ
旅館,リョカン
境内,ケイダイ
建物,タテモノ
家族,カゾク
苦笑い,ニガワライ
年長者,ネンチョウシャ
口癖,クチグセ
弁解,ベンカイ
この間,コノカン
風変り,フウガワリ
にいな,ニイナ
話,ハナシ
交際,コウサイ
外国,ガイコク
近付き,チカヅキ
最後,サイゴ
相手,アイテ
感じ,カンジ
腹の中,ハラノウチ
返事,ヘンジ
沈吟,チンギン
見覚え,ミオボエ
人違い,ヒトチガイ
メロンパン,メロンパン
失望,シツボウ
避暑地,ヒショチ
お宅,オタク
単簡,タンカン
いらっしゃい,イラッシャイ
時分,ジブン
自信,ジシン
軽微,ケイビ
不安,フアン
いつか,イツカ
満足,マンゾク
すべて,スベテ
人間,ニンゲン
素直,スナオ
今日,キョウ
始め,ハジメ
冷淡,レイタン
動作,ドウサ
不快,フカイ
表現,ヒョウゲン
警告,ケイコク
軽蔑,ケイベツ
週間,シュウカン
気分,キブン
大都会,ダイトカイ
空気,クウキ
復活,フッカツ
刺戟,シゲキ
心,ココロ
往来,オウライ
学生,ガクセイ
学年,ガクネン
希望,キボウ
緊張,キンチョウ
カ月,カゲツ
弛み,ユルミ
不足,フソク
物欲しそう,モノホシソウ
日曜,ニチヨウ
好い,コウイ
日和,ヒヨリ
自身,ジシン
外出,ガイシュツ
嫌い,キライ
理由,リユウ
不満,フマン
